Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2025-02,Kerala,45446,44455,991,40480,30801,29842,2627,12977,29400,0.05780486731505523,0.6566474497205474,0.2855476829643973,0.9421951326849448,0.014811339722538704,0.10927254323812877,0.23910573122529644,-0.4188422032958992,0.0,44.81350806451613,0,10.52,Low
2025-02,Madhya Pradesh,627513,585326,42187,627513,627513,305106,0,322407,294877,0.0,0.4862146282228416,0.5137853717771584,1.0,0.03352605324051313,0.0,0.0,0.28713016998045915,0.0,13.874229638759838,0,13.52,Low
2025-02,Maharashtra,409156,397897,11259,374165,174066,208681,27844,172631,208335,0.06805228323671167,0.5100279599956985,0.42191975676758986,0.9319477167632884,0.0016580330744054323,0.0855199483815464,0.534788128232197,0.002976459047984732,0.0,35.33721136767318,0,13.57,Low
2025-02,Odisha,723841,691948,31893,576030,494786,479097,100108,144636,470109,0.13830109098545124,0.6618815458090934,0.19981736320545535,0.8616989090145488,0.018760292800831566,0.20420368561604,0.14104126521188132,-0.6840185535156592,0.033564946260982685,21.695240484103593,0,11.89,Low
2025-02,Rajasthan,118375,113162,5213,76333,63849,51766,688,65921,51766,0.005812038014783527,0.4373051742344245,0.556882787750792,0.9941879619852165,0.0,0.3551594508975713,0.16354656570552709,0.42043674697592076,0.0,21.70349060222478,0,19.39,Low
2025-02,Tamil Nadu,34667,33119,1548,27582,16972,16568,5388,12711,16508,0.1554215824847838,0.477918481553062,0.36665993596215424,0.8445784175152162,0.0036214389183969096,0.20437303487466466,0.38467116235225873,-0.16795020535950403,0.0,21.38089089735313,0,16.19,Low
2025-02,Telangana,655249,651822,3427,231456,231456,231456,329367,94426,231456,0.5026592944056382,0.35323365621313424,0.1441070493812276,0.49734070559436183,0.0,0.6467663437868657,0.0,-0.8563386583635741,0.0,190.14644107351225,0,25.87,Low
2025-02,Tripura,200721,200557,164,153257,136437,131793,80,68848,128032,0.00039856317973704794,0.6565979643385595,0.3430034724817035,0.9996014368202629,0.028537175722534582,0.23646753453799055,0.10975028873069419,-0.24112308821462322,0.0,1215.4969696969697,0,12.7,Low
2025-02,Uttar Pradesh,94166,92972,1194,83646,23479,18910,4520,70736,23430,0.04800033982541469,0.20081558099526367,0.7511840791793216,0.9519996601745853,0.0,0.11171760508038996,0.7193051670133659,1.021438906408894,65.47058823529412,77.80083682008369,1,36.66,Medium
2025-02,Uttarakhand,6678,3587,3091,0,0,0,185,6493,185,0.027702905061395628,0.0,0.9722970949386044,0.9722970949386044,0.0,1.0,0.0,1.705373629503347,0.0,1.160090556274256,1,55.0,High
2025-02,West Bengal,142081,131962,10119,52610,51897,45130,364,96587,45130,0.0025619189054131093,0.3176357148387188,0.6798023662558681,0.9974380810945869,0.0,0.629718259302792,0.013552556548184757,0.80064488442577,0.0,13.039723320158103,0,26.5,Low
2025-03,Andhra Pradesh,288381,285087,3294,267889,246960,228473,1498,58410,228473,0.005194516975806312,0.7922609325857113,0.20254455043848243,0.9948054830241937,0.0,0.07105877294273895,0.07812564159036019,-0.6761556006045638,0.0,86.52109256449165,0,6.26,Low
2025-03,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3026317578752367,0.0,24.63452951876964,1,55.0,High
2025-03,Bihar,4696,4696,0,4696,4696,200,0,4496,191,0.0,0.04258943781942078,0.9574105621805792,1.0,0.045,0.0,0.0,1.6586668237294842,0.0,4696.0,0,24.84,Low
2025-03,Chhattisgarh,947479,890220,57259,843086,841839,534521,6171,406787,534068,0.0065130731129660925,0.564150762180481,0.42933616470655284,0.9934869268870339,0.0008474877507151263,0.11017975068576717,0.0014790899149078505,0.025317426935746998,-0.49096758228161347,15.54697869367796,0,12.57,Low
2025-03,Goa,10136,9757,379,4660,2742,2098,7859,179,871,0.7753551696921863,0.2069850039463299,0.01765982636148382,0.22464483030781374,0.5848427073403241,0.5402525651144435,0.41158798283261805,-1.24800940376569,-0.013927227101631117,25.676315789473684,0,39.63,Medium
2025-03,Gujarat,190056,182869,7187,186192,119410,103503,84222,2331,103503,0.4431430736204066,0.5445921202171992,0.012264806162394242,0.5568569263795934,0.0,0.020330849854779644,0.35867276789550573,-1.2646963574033288,-0.004985586692500354,25.440873678352812,0,11.69,Low
2025-03,Himachal Pradesh,5566,4883,683,2861,1465,808,4704,54,808,0.8451311534315487,0.14516708587854832,0.009701760689902982,0.15486884656845132,0.0,0.48598634567014015,0.4879412792729815,-1.2726239312385181,-0.00042498937526561835,7.138888888888889,0,28.66,Low
