Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2026-05,Rajasthan,118375,113162,5213,76333,63849,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.2075,0.3552,0.3218,0.4266,0,0.9119,0,23.55,Low
2026-05,Tamil Nadu,34667,33119,1548,27582,16972,16568,5388,12711,16508,0.1554,0.4779,0.3667,0.8446,0.3177,0.2044,0.3993,-0.1801,0,0.9107,0,21.77,Low
2026-05,Telangana,655249,651822,3427,231456,231456,231456,329367,94426,231456,0.5027,0.3532,0.1441,0.4973,0.0,0.6468,0.0,-0.8901,0,0.9895,0,18.68,Low
2026-05,Tripura,201122,201055,67,153686,134761,132285,365,68472,131680,0.0018,0.6577,0.3405,0.9982,0.1064,0.2359,0.1393,-0.2637,-118809,0.9993,0,11.23,Low
2026-05,Uttar Pradesh,94166,92972,1194,94166,94166,23430,0,70736,23430,0.0,0.2488,0.7512,1.0,0.7512,0.0,0.7512,1.0464,0,0.9746,0,48.02,Medium
2026-05,Uttarakhand,6897,3795,3102,0,0,0,199,6698,84,0.0289,0.0,0.9711,0.9711,0.0,1.0,0.0,1.7478,73,0.1005,0,42.62,Medium
2026-05,West Bengal,142081,131962,10119,52610,51897,45130,364,96587,45130,0.0026,0.3176,0.6798,0.9974,0.0526,0.6297,0.1422,0.8186,0,0.8576,0,26.57,Low
2026-06,Andhra Pradesh,288409,285115,3294,288409,288409,228489,1525,58395,228489,0.0053,0.7922,0.2025,0.9947,0.2078,0.0,0.2078,-0.3328,0,0.9772,0,10.42,Low
2026-06,Assam,216644,208062,8582,105737,81141,81141,119124,16379,87436,0.5499,0.3745,0.0756,0.4501,0.1135,0.5119,0.2326,-0.8051,0,0.9208,0,21.22,Low
2026-06,Bihar,4696,4696,0,4696,191,21,179,4496,191,0.0381,0.0045,0.9574,0.9619,0.9955,0.0,0.9955,2.4764,0,1.0,0,74.73,Critical
2026-06,Chhattisgarh,947479,890220,57259,843086,841839,534521,6171,406787,534068,0.0065,0.5642,0.4293,0.9935,0.3257,0.1102,0.366,0.5111,0,0.8791,0,24.18,Low
2026-06,Goa,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0864,-5060,0.0,0,0.0,Low
2026-06,Gujarat,190242,183055,7187,186192,119410,103524,84387,2331,103524,0.4436,0.5442,0.0123,0.5564,0.4345,0.0213,0.444,-1.0406,0,0.9244,0,24.48,Low
